Node_ID,x_int,y_int
0,12862,1969
1,6464,425241
2,230045,427407
3,247858,5627
4,221788,408
5,237576,200456
6,237328,214966
7,214396,426849
8,13439,429992
9,13439,215648
10,7181,197183
11,13497,-1643
12,16847,209295
13,17647,209295
14,18447,209295
15,17247,209295
16,18047,209295
17,18847,209295
18,19647,209295
19,20447,209295
20,19247,209295
21,20047,209295
22,20847,209295
23,21647,209295
24,22447,209295
25,21247,209295
26,22047,209295
27,22847,209295
28,23647,209295
29,24447,209295
30,23247,209295
31,24047,209295
32,24847,209295
33,25647,209295
34,26047,208895
35,25247,209295
36,26047,209295
37,25647,208895
38,24847,208895
39,24047,208895
40,25247,208895
41,24447,208895
42,23647,208895
43,22847,208895
44,22047,208895
45,23247,208895
46,22447,208895
47,21647,208895
48,20847,208895
49,20047,208895
50,21247,208895
51,20447,208895
52,19647,208895
53,18847,208895
54,18047,208895
55,19247,208895
56,18447,208895
57,17647,208895
58,16847,208895
59,16847,208095
60,17247,208895
61,17247,208095
62,18047,208095
63,18847,208095
64,17647,208095
65,18447,208095
66,19247,208095
67,20047,208095
68,20847,208095
69,19647,208095
70,20447,208095
71,21247,208095
72,22047,208095
73,22847,208095
74,21647,208095
75,22447,208095
76,23247,208095
77,24047,208095
78,24847,208095
79,23647,208095
80,24447,208095
81,25247,208095
82,26047,208095
83,26047,207295
84,25647,208095
85,25647,207295
86,24847,207295
87,24047,207295
88,25247,207295
89,24447,207295
90,23647,207295
91,22847,207295
92,22047,207295
93,23247,207295
94,22447,207295
95,21647,207295
96,20847,207295
97,20047,207295
98,21247,207295
99,20447,207295
100,19647,207295
101,18847,207295
102,18047,207295
103,19247,207295
104,18447,207295
105,17647,207295
106,16847,207295
107,16846,210094
108,17247,207295
109,17246,210094
110,18046,210094
111,18846,210094
112,17646,210094
113,18446,210094
114,19246,210094
115,20046,210094
116,20846,210094
117,19646,210094
118,20446,210094
119,21246,210094
120,22046,210094
121,22846,210094
122,21646,210094
123,22446,210094
124,23246,210094
125,24046,210094
126,24846,210094
127,23646,210094
128,24446,210094
129,25246,210094
130,26046,210094
131,26046,210894
132,25646,210094
133,25646,210894
134,24846,210894
135,24046,210894
136,25246,210894
137,24446,210894
138,23646,210894
139,22846,210894
140,22046,210894
141,23246,210894
142,22446,210894
143,21646,210894
144,20846,210894
145,20046,210894
146,21246,210894
147,20446,210894
148,19646,210894
149,18846,210894
150,18046,210894
151,19246,210894
152,18446,210894
153,17646,210894
154,16846,210894
155,16847,422295
156,17246,210894
157,17247,422295
158,18047,422295
159,18847,422295
160,17647,422295
161,18447,422295
162,19247,422295
163,20047,422295
164,20847,422295
165,19647,422295
166,20447,422295
167,21247,422295
168,22047,422295
169,22847,422295
170,21647,422295
171,22447,422295
172,23247,422295
173,24047,422295
174,24847,422295
175,23647,422295
176,24447,422295
177,25247,422295
178,26047,422295
179,26047,423095
180,25647,422295
181,25647,423095
182,24847,423095
183,24047,423095
184,25247,423095
185,24447,423095
186,23647,423095
187,22847,423095
188,22047,423095
189,23247,423095
190,22447,423095
191,21647,423095
192,20847,423095
193,20047,423095
194,21247,423095
195,20447,423095
196,19647,423095
197,18847,423095
198,18047,423095
199,19247,423095
200,18447,423095
201,17647,423095
202,16847,423095
203,16847,423895
204,17247,423095
205,17247,423895
206,18047,423895
207,18847,423895
208,17647,423895
209,18447,423895
210,19247,423895
211,20047,423895
212,20847,423895
213,19647,423895
214,20447,423895
215,21247,423895
216,22047,423895
217,22847,423895
218,21647,423895
219,22447,423895
220,23247,423895
221,24047,423895
222,24847,423895
223,23647,423895
224,24447,423895
225,25247,423895
226,25647,424295
227,24847,424295
228,25647,423895
229,25247,424295
230,24447,424295
231,23647,424295
232,22847,424295
233,24047,424295
234,23247,424295
235,22447,424295
236,21647,424295
237,20847,424295
238,22047,424295
239,21247,424295
240,20447,424295
241,19647,424295
242,18847,424295
243,20047,424295
244,19247,424295
245,18447,424295
246,17647,424295
247,16847,424295
248,18047,424295
249,17247,424295
250,16846,425094
251,17646,425094
252,18446,425094
253,17246,425094
254,18046,425094
255,18846,425094
256,19646,425094
257,20446,425094
258,19246,425094
259,20046,425094
260,20846,425094
261,21646,425094
262,22446,425094
263,21246,425094
264,22046,425094
265,22846,425094
266,23646,425094
267,24446,425094
268,23246,425094
269,24046,425094
270,24846,425094
271,25646,425094
272,26047,424295
273,26046,425094
274,25246,425094
275,26046,425894
276,25246,425894
277,24446,425894
278,25646,425894
279,24846,425894
280,24046,425894
281,23246,425894
282,22446,425894
283,23646,425894
284,22846,425894
285,22046,425894
286,21246,425894
287,20446,425894
288,21646,425894
289,20846,425894
290,20046,425894
291,19246,425894
292,18446,425894
293,19646,425894
294,18846,425894
295,18046,425894
296,17246,425894
297,26047,423895
298,16846,425894
299,17646,425894
300,213707,415780
301,231915,432046
302,165523,245179
303,164666,245255
304,163371,245466
305,164477,245567
306,163154,244900
307,164278,245018
308,163530,244959
309,164610,244739
310,164647,243998
311,165779,243050
312,164868,243659
313,164798,244381
314,164926,243256
315,163535,243195
316,164480,243290
317,163110,243216
318,166221,231962
319,166477,229834
320,167390,230274
321,167334,229758
322,167202,230631
323,167523,229446
324,167722,229995
325,167353,231014
326,167074,231757
327,168465,231817
328,167520,231723
329,167132,231353
330,168890,231797
331,168846,230113
332,168629,229547
333,168470,230053
334,173594,223096
335,173679,221718
336,173626,222742
337,173325,221680
338,174027,221754
339,175862,222691
340,174375,221791
341,176072,222409
342,177461,222799
343,177496,222179
344,173831,218928
345,177083,222136
346,173232,218885
347,173318,218070
348,173199,218530
349,173051,217833
350,172402,218175
351,171528,217882
352,172721,218007
353,171119,217557
354,171847,217714
355,172496,217373
356,180004,200640
357,180653,200298
358,181381,200455
359,180972,200131
360,180098,199838
361,179449,200179
362,179301,199483
363,179182,199943
364,179779,200005
365,179268,199127
366,178669,199084
367,184977,188567
368,186023,188179
369,185166,188255
370,186279,186050
371,185368,186659
372,184980,186290
373,184035,186195
374,185426,186256
375,183610,186216
376,185147,186998
377,185110,187739
378,184030,187959
379,184778,188018
380,185298,187381
381,183654,187900
382,183871,188466
383,178874,195270
384,176638,195322
385,178906,194916
386,175039,195214
387,175004,195833
388,176428,195604
389,175417,195877
390,178125,196222
391,178821,196295
392,156996,222179
393,179175,196332
394,178473,196258
395,156961,222799
396,156583,222136
397,155572,222409
398,153875,221791
399,155362,222691
400,153527,221754
401,153126,222742
402,153179,221718
403,153094,223096
404,152825,221680
405,153331,218928
406,152732,218885
407,152818,218070
408,152699,218530
409,152551,217833
410,151902,218175
411,151996,217373
412,152221,218007
413,151347,217714
414,150619,217557
415,151028,217882
416,147023,229446
417,147222,229995
418,148129,229547
419,146834,229758
420,147970,230053
421,148390,231797
422,148346,230113
423,147965,231817
424,147020,231723
425,146632,231353
426,146702,230631
427,146574,231757
428,146853,231014
429,146890,230274
430,145977,229834
431,145721,231962
432,145279,243050
433,145023,245179
434,144166,245255
435,142610,243216
436,143977,245567
437,143035,243195
438,143980,243290
439,144368,243659
440,144298,244381
441,144426,243256
442,144147,243998
443,144110,244739
444,143030,244959
445,143778,245018
446,142654,244900
447,142871,245466
448,137906,251916
449,137473,253258
450,137874,252270
451,137821,253295
452,137669,256084
453,138175,253332
454,138268,256127
455,138182,256943
456,138301,256483
457,138449,257179
458,139004,257640
459,138779,257005
460,139653,257298
461,140381,257455
462,139972,257131
463,139098,256838
464,137125,253222
465,135638,252322
466,134417,252877
467,135428,252604
468,134039,252214
469,134004,252833
470,131496,256873
471,130847,257214
472,130119,257057
473,130528,257382
474,131402,257675
475,132051,257333
476,132199,258030
477,132318,257570
478,131721,257507
479,132232,258385
480,132831,258428
